# BrightStars.csv — embedded subset of the Yale Bright Star Catalog (BSC5)
# Named stars with visual magnitude V <= 3.1 at epoch J2000.0 (ICRS)
# Format: CommonName,BayerDesig,Frame,RAh,RAm,RAs,Decd,Decm,Decs,pmRA_cosd,pmDec,RV_kms,parallax_mas,magnitude,SpectralType
# pmRA_cosd = proper motion in RA x cos(Dec) in mas/yr; pmDec in mas/yr; parallax in mas
Mirach,beAnd,ICRS,1,9,43.92,+35,37,14.0,175.90,-112.20,-6.3,16.37,2.06,M0III
Kochab,beUMi,ICRS,14,50,42.33,+74,9,19.8,-32.61,11.42,17.0,25.79,2.07,K4III
Rasalhague,alOph,ICRS,17,34,56.07,+12,33,36.1,108.07,-221.57,12.6,69.84,2.08,A5III
Saiph,kaOri,ICRS,5,47,45.39,-9,40,10.6,1.55,0.97,20.5,4.52,2.09,B0.5Ia
Tiaki,beGru,ICRS,22,42,40.05,-46,53,4.5,151.49,-2.00,-4.0,18.36,2.11,M5III
Algol,bePer,ICRS,3,8,10.13,+40,57,20.3,2.39,-1.44,3.7,35.14,2.12,B8V
Muhlifain,gaCen,ICRS,12,41,31.03,-48,57,34.5,-193.52,-3.23,-35.0,27.00,2.17,A1III
Suhail,laVel,ICRS,9,7,59.76,-43,25,57.3,-23.21,14.28,18.0,5.69,2.21,K4Ib-II
Naos,zePup,ICRS,8,3,35.05,-40,0,11.5,-30.82,16.77,24.3,3.01,2.21,O4If
Mizar,zeUMa,ICRS,13,23,55.54,+54,55,31.3,121.23,-22.01,-9.0,41.73,2.23,A2Vn
Schedar,alCas,ICRS,0,40,30.44,+56,32,14.4,50.36,-32.17,-4.3,14.29,2.24,K0IIIa
Alphecca,alCrB,ICRS,15,34,41.27,+26,42,52.9,120.38,-89.44,1.0,43.46,2.24,A0V
Eltanin,gaDra,ICRS,17,56,36.37,+51,29,20.0,-8.49,-22.84,-28.2,21.91,2.24,K5III
Aspidiske,ioCar,ICRS,9,17,5.41,-59,16,30.5,-19.02,12.97,22.0,5.05,2.25,A8Ib
Caph,beCas,ICRS,0,9,10.69,+59,8,59.2,523.50,-179.77,11.3,59.89,2.28,F2III
Larawag,epsSco,ICRS,16,50,9.81,-34,17,35.6,-625.14,-258.97,-3.3,50.83,2.29,K2.5III
Eta Cen,etCen,ICRS,14,35,30.43,-42,9,28.4,-37.70,-27.46,-1.2,5.59,2.31,B1Vne
Merak,beUMa,ICRS,11,1,50.48,+56,22,56.7,-81.66,33.74,-12.0,40.90,2.37,A1V
Enif,epsPeg,ICRS,21,44,11.16,+9,52,30.0,30.02,1.38,-9.0,4.85,2.39,K2Ib
Ankaa,alPhe,ICRS,0,26,17.05,-42,18,21.5,232.76,-353.62,74.6,42.14,2.40,K0.5IIIb
Sabik,etOph,ICRS,17,10,22.69,-15,43,29.7,41.16,98.51,11.7,38.77,2.43,A2.5Va
Phecda,gaUMa,ICRS,11,53,49.85,+53,41,41.1,107.76,11.16,-13.0,39.21,2.44,A0Ve
Scheat,bePeg,ICRS,23,3,46.46,+28,4,58.0,187.65,137.61,8.5,16.37,2.44,M2II-III
Alderamin,alCep,ICRS,21,18,34.77,+62,35,8.1,150.14,49.52,-10.0,66.80,2.45,A7IV-V
Aljanah,epsCyg,ICRS,20,46,12.69,+33,58,13.0,356.26,330.55,-10.8,44.65,2.48,K0III
Markab,alPeg,ICRS,23,4,45.65,+15,12,18.9,61.10,-42.56,-3.5,23.36,2.49,B9III
Menkar,alCet,ICRS,3,2,16.77,+4,5,23.1,-11.81,-78.76,-26.1,13.09,2.54,M1.5IIIa
Zosma,deLeo,ICRS,11,14,6.50,+20,31,25.4,143.38,-129.04,-21.2,55.82,2.56,A4V
Gienah,gaCrv,ICRS,12,15,48.37,-17,32,30.9,-159.58,22.31,-4.0,23.00,2.59,B8IIIp
Zubeneschamali,beLib,ICRS,15,17,0.41,-9,22,58.5,-99.03,-19.85,-35.0,20.37,2.61,B8V
Acrab,beSco,ICRS,16,5,26.23,-19,48,19.6,-5.37,-23.59,-1.0,8.24,2.62,B1V
Unukalhai,alSer,ICRS,15,44,16.07,+6,25,32.3,133.84,44.81,11.8,44.09,2.63,K2III
Phact,alCol,ICRS,5,39,38.94,-34,4,26.8,14.31,-48.94,35.0,11.74,2.65,B7IV
Lesath,upsSco,ICRS,17,30,45.84,-37,17,44.9,-8.65,-35.24,-4.0,5.39,2.69,B2IV
Izar,epsBoo,ICRS,14,44,59.22,+27,4,27.2,-48.56,-100.01,-16.7,15.56,2.70,K0II-III
Kaus Media,deSgr,ICRS,18,20,59.64,-29,49,41.5,-39.22,-47.61,-20.0,9.35,2.72,K3III
Porrima,gaVir,ICRS,12,41,39.64,-1,26,57.7,-275.94,30.49,-32.0,83.84,2.74,F0V
Zubenelgenubi,alLib,ICRS,14,50,52.71,-16,2,30.4,-105.68,-69.00,-11.0,43.03,2.75,A3IV
Kornephoros,beHer,ICRS,16,30,13.20,+21,29,22.6,-98.80,-14.02,-24.5,37.29,2.78,G8III
Rastaban,beDra,ICRS,17,30,25.97,+52,18,5.0,-15.96,12.97,-20.0,9.00,2.79,G2II
